Seed,UE,X,Y,Z,Distance,AvgCQI,CC1,CC2,CC3,CC4,CC5,CQI_CC1,CQI_CC2,CQI_CC3,CQI_CC4,CQI_CC5,Thr_CC1_Mbps,Thr_CC2_Mbps,Thr_CC3_Mbps,Thr_CC4_Mbps,Thr_CC5_Mbps,TotalThr_Mbps
101.0,3.0,-141.4577320565709,-135.45463877207982,1.5,197.91538374634558,4.2,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,8.0,3.0,0.182,0.0,0.0,5.502,0.882,6.566
101.0,4.0,-98.54350313246908,-108.63922873136816,1.5,149.4173819505799,8.6,1.0,1.0,1.0,1.0,1.0,3.0,10.0,8.0,11.0,11.0,0.98,2.478,0.0,0.0,3.36,6.818
101.0,5.0,55.583094509193764,-93.90977215862368,1.5,112.78641630135509,10.4,1.0,1.0,1.0,1.0,1.0,13.0,12.0,8.0,6.0,13.0,3.15,11.004,5.516,0.0,10.724,30.394
101.0,6.0,100.16905879082296,148.2953703462291,1.5,181.21149854566238,9.6,1.0,1.0,1.0,1.0,1.0,11.0,5.0,11.0,12.0,9.0,0.546,0.952,0.0,10.724,5.278,17.5
101.0,7.0,-57.910134098328655,6.199619005490076,1.5,64.84033395271527,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,8.638,0.0,3.024,0.0,2.702,14.364
101.0,8.0,118.08392390501919,23.636860642625066,1.5,123.75283538507408,13.2,1.0,1.0,1.0,1.0,1.0,12.0,14.0,15.0,15.0,10.0,5.054,0.0,2.59,2.562,0.0,10.206
101.0,9.0,66.4631585304914,70.44571748081457,1.5,100.95642898417105,13.2,1.0,1.0,1.0,1.0,1.0,11.0,15.0,15.0,11.0,14.0,10.752,7.658,0.0,0.0,7.826,26.236
101.0,10.0,-93.01831373856096,12.588531668878055,1.5,98.0975423766758,12.0,1.0,1.0,1.0,1.0,1.0,13.0,12.0,8.0,15.0,12.0,0.588,2.534,9.17,0.0,0.0,12.292
101.0,11.0,16.268277337436142,123.94606730273057,1.5,128.21674792062367,9.8,1.0,1.0,1.0,1.0,1.0,10.0,5.0,15.0,8.0,11.0,5.558,0.91,10.738,8.624,0.0,25.83
101.0,12.0,-44.36041379201576,92.37604529637514,1.5,106.36460904077451,10.2,1.0,1.0,1.0,1.0,1.0,13.0,9.0,11.0,4.0,14.0,5.558,0.0,0.0,0.0,8.022,13.58
101.0,13.0,-95.4322792019764,-29.100650791863792,1.5,103.76135017526506,12.8,1.0,1.0,1.0,1.0,1.0,15.0,12.0,12.0,10.0,15.0,0.434,0.0,2.562,2.576,5.208,10.78
101.0,14.0,85.68052855930765,-42.83269715376365,1.5,99.94019671617805,13.6,1.0,1.0,1.0,1.0,1.0,15.0,15.0,14.0,14.0,10.0,0.546,15.638,7.56,0.0,4.844,28.588
101.0,15.0,139.64496672359078,135.86301441326196,1.5,196.90537173142584,6.2,1.0,1.0,1.0,1.0,1.0,5.0,5.0,12.0,0.0,9.0,2.058,0.0,2.52,0.0,0.0,4.578
101.0,16.0,-80.2939014555718,-46.91052663223205,1.5,97.26231603180354,12.2,1.0,1.0,1.0,1.0,1.0,15.0,15.0,6.0,12.0,13.0,0.56,0.0,0.0,2.548,2.422,5.53
101.0,17.0,-124.93156990099689,109.5299448954984,1.5,168.57329559197265,8.4,1.0,1.0,1.0,1.0,1.0,8.0,7.0,10.0,10.0,7.0,2.086,3.64,2.478,0.0,0.0,8.204
101.0,18.0,31.064526687365557,99.08331365963909,1.5,107.67895738761808,12.8,1.0,1.0,1.0,1.0,1.0,15.0,13.0,11.0,10.0,15.0,0.658,0.0,0.0,0.0,0.0,0.658
101.0,19.0,68.69782718628534,11.448434774267213,1.5,75.25096756120399,12.8,1.0,1.0,1.0,1.0,1.0,15.0,13.0,13.0,12.0,11.0,0.532,0.0,2.884,0.0,0.0,3.416
101.0,20.0,-67.12835145082117,126.74081177016708,1.5,146.22482325742743,11.4,1.0,1.0,1.0,1.0,1.0,12.0,11.0,8.0,11.0,15.0,0.56,0.0,0.0,5.18,0.0,5.74
101.0,1.0,4.919588310733847,55.591898634053486,1.5,62.66507434676821,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.56,0.0,0.0,5.46,0.0,6.02
101.0,2.0,21.200276060441936,5.360242259114212,1.5,35.922609901221556,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.518,5.614,0.0,13.524,0.0,19.656
101.0,3.0,-141.4577320565709,-135.45463877207982,1.5,197.91538374634558,4.8,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,9.0,3.0,0.196,0.0,0.0,3.878,0.0,4.074
101.0,4.0,-98.54350313246908,-108.63922873136816,1.5,149.4173819505799,9.6,1.0,1.0,1.0,1.0,1.0,4.0,11.0,10.0,12.0,11.0,0.196,2.716,0.0,0.0,2.8,5.712
101.0,5.0,55.583094509193764,-93.90977215862368,1.5,112.78641630135509,11.8,1.0,1.0,1.0,1.0,1.0,14.0,14.0,9.0,7.0,15.0,0.504,2.8,4.046,0.0,5.53,12.88
101.0,6.0,100.16905879082296,148.2953703462291,1.5,181.21149854566238,10.6,1.0,1.0,1.0,1.0,1.0,12.0,6.0,12.0,13.0,10.0,3.248,0.854,0.0,8.988,14.504,27.594
101.0,7.0,-57.910134098328655,6.199619005490076,1.5,64.84033395271527,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,14.364,0.0,5.432,0.0,0.0,19.796
101.0,8.0,118.08392390501919,23.636860642625066,1.5,123.75283538507408,13.6,1.0,1.0,1.0,1.0,1.0,13.0,15.0,15.0,15.0,10.0,5.894,0.0,0.0,0.0,0.0,5.894
101.0,9.0,66.4631585304914,70.44571748081457,1.5,100.95642898417105,13.6,1.0,1.0,1.0,1.0,1.0,12.0,15.0,15.0,11.0,15.0,14.742,11.158,0.0,0.0,13.93,39.83
101.0,10.0,-93.01831373856096,12.588531668878055,1.5,98.0975423766758,12.8,1.0,1.0,1.0,1.0,1.0,14.0,12.0,10.0,15.0,13.0,0.462,0.0,17.01,0.0,0.0,17.472
101.0,11.0,16.268277337436142,123.94606730273057,1.5,128.21674792062367,10.6,1.0,1.0,1.0,1.0,1.0,10.0,6.0,15.0,10.0,12.0,3.192,0.0,17.612,11.228,0.0,32.032
101.0,12.0,-44.36041379201576,92.37604529637514,1.5,106.36460904077451,11.2,1.0,1.0,1.0,1.0,1.0,14.0,10.0,12.0,5.0,15.0,3.318,0.0,0.0,0.0,11.074,14.392
101.0,13.0,-95.4322792019764,-29.100650791863792,1.5,103.76135017526506,13.2,1.0,1.0,1.0,1.0,1.0,15.0,12.0,13.0,11.0,15.0,0.518,0.0,0.0,2.674,5.516,8.708
101.0,14.0,85.68052855930765,-42.83269715376365,1.5,99.94019671617805,14.2,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,11.0,0.532,17.122,10.794,0.0,5.656,34.104
101.0,15.0,139.64496672359078,135.86301441326196,1.5,196.90537173142584,7.2,1.0,1.0,1.0,1.0,1.0,7.0,6.0,13.0,0.0,10.0,5.922,0.0,0.0,0.0,0.0,5.922
101.0,16.0,-80.2939014555718,-46.91052663223205,1.5,97.26231603180354,12.8,1.0,1.0,1.0,1.0,1.0,15.0,15.0,7.0,13.0,14.0,0.504,0.0,0.0,0.0,0.0,0.504
101.0,17.0,-124.93156990099689,109.5299448954984,1.5,168.57329559197265,9.4,1.0,1.0,1.0,1.0,1.0,9.0,8.0,11.0,11.0,8.0,5.88,12.292,0.0,0.0,0.0,18.172
101.0,18.0,31.064526687365557,99.08331365963909,1.5,107.67895738761808,13.2,1.0,1.0,1.0,1.0,1.0,15.0,13.0,12.0,11.0,15.0,0.574,0.0,0.0,0.0,0.0,0.574
101.0,19.0,68.69782718628534,11.448434774267213,1.5,75.25096756120399,13.6,1.0,1.0,1.0,1.0,1.0,15.0,14.0,14.0,13.0,12.0,0.588,0.0,2.632,0.0,0.0,3.22
101.0,20.0,-67.12835145082117,126.74081177016708,1.5,146.22482325742743,12.2,1.0,1.0,1.0,1.0,1.0,13.0,12.0,9.0,12.0,15.0,0.574,0.0,0.0,10.892,0.0,11.466
101.0,1.0,4.919588310733847,55.591898634053486,1.5,62.66507434676821,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.574,0.0,0.0,0.0,0.0,0.574
101.0,2.0,21.200276060441936,5.360242259114212,1.5,35.922609901221556,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.644,5.572,0.0,5.838,0.0,12.054
101.0,3.0,-141.4577320565709,-135.45463877207982,1.5,197.91538374634558,5.2,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,9.0,4.0,0.168,0.0,0.0,5.978,0.0,6.146
101.0,4.0,-98.54350313246908,-108.63922873136816,1.5,149.4173819505799,10.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,10.0,13.0,12.0,1.232,7.882,0.0,0.0,8.512,17.626
