maskIdx,reward
16,64.092000
16,57.876000
16,66.752000
16,58.828000
16,47.572000
16,47.992000
16,51.044000
16,51.828000
16,56.476000
16,62.762000
16,68.586000
16,72.394000
16,69.902000
16,68.810000
16,67.522000
16,62.440000
16,66.724000
16,62.132000
16,63.840000
16,59.122000
16,57.666000
16,48.034000
16,50.624000
16,52.864000
16,47.768000
16,45.458000
16,47.460000
16,48.580000
16,55.426000
16,61.180000
16,66.122000
16,64.554000
16,69.342000
16,62.286000
16,57.344000
16,65.548000
16,67.858000
16,70.280000
16,70.322000
16,70.784000
16,68.810000
16,65.632000
16,64.218000
16,60.102000
16,51.100000
16,49.322000
16,51.394000
16,47.502000
16,60.984000
16,65.940000
16,64.232000
16,61.978000
16,68.040000
16,67.074000
16,66.556000
16,68.110000
16,64.988000
16,68.236000
16,65.506000
16,65.870000
16,66.444000
16,63.532000
16,64.064000
16,50.974000
16,48.622000
16,44.884000
16,37.296000
16,42.392000
16,58.618000
16,60.536000
16,53.788000
16,52.024000
16,50.848000
16,63.378000
16,62.790000
16,59.010000
16,65.422000
16,62.972000
16,61.250000
16,61.824000
16,61.026000
16,56.546000
16,44.044000
16,40.572000
16,50.344000
16,47.348000
16,45.262000
16,41.790000
16,47.124000
16,62.118000
16,60.942000
16,62.468000
16,56.308000
16,54.222000
16,62.706000
16,64.582000
16,64.176000
16,64.694000
16,62.426000
16,64.722000
16,64.554000
16,61.866000
16,49.994000
16,47.768000
16,46.396000
16,36.792000
16,52.598000
16,51.380000
16,59.794000
16,50.316000
16,50.750000
16,45.948000
16,46.802000
16,50.078000
16,57.680000
16,64.750000
16,68.992000
16,67.914000
16,68.390000
16,66.584000
16,60.970000
16,61.992000
16,63.700000
16,57.876000
16,51.786000
16,52.878000
16,47.796000
16,54.712000
16,60.130000
16,63.742000
16,64.414000
16,66.934000
16,64.470000
16,58.674000
16,58.044000
16,56.238000
16,66.850000
16,71.848000
16,68.992000
16,64.190000
16,60.872000
16,56.504000
16,53.816000
