maskIdx,reward
16,50.400000
16,49.854000
16,54.978000
16,55.286000
16,58.842000
16,62.230000
16,65.632000
16,70.938000
16,67.396000
16,69.034000
16,67.872000
16,66.878000
16,67.928000
16,67.648000
16,68.012000
16,67.144000
16,63.336000
16,63.980000
16,63.000000
16,62.608000
16,58.086000
16,52.612000
16,44.338000
16,51.996000
16,60.116000
16,63.868000
16,64.498000
16,64.232000
16,61.796000
16,57.988000
16,58.548000
16,58.898000
16,62.860000
16,72.534000
16,62.860000
16,55.510000
16,51.198000
16,49.140000
16,57.918000
16,55.986000
16,58.394000
16,54.096000
16,52.388000
16,54.180000
16,58.184000
16,63.420000
16,60.676000
16,60.032000
16,65.184000
16,58.464000
16,58.982000
16,59.626000
16,58.618000
16,63.812000
16,67.452000
16,61.166000
16,57.358000
16,63.532000
16,59.920000
16,55.160000
16,51.730000
